파일	ID	일본어 원문	기존 번역	신규 번역	수정 사유
overlay-18.json	arm9-overlay:18@00002F98	ぼくも、がんばるぞ！	나도 힘내자!	나도 열심히 해야지!	자기 다짐의 의미 복원
overlay-18.json	arm9-overlay:18@00003024	川！	川！	강!	일본어 미번역 수정
overlay-18.json	arm9-overlay:18@000030B8	加山！	加山！	카야마!	일본어 미번역 수정
overlay-18.json	arm9-overlay:18@00003270	風林火山！	風林火山！	풍림화산!	일본어 미번역 수정
overlay-18.json	arm9-overlay:18@00003320	山！	山！	산!	일본어 미번역 수정
overlay-18.json	arm9-overlay:18@0000356C	朝ゴハン作りすぎちゃって……	아침을 너무 많이 해서……	아침을 너무 많이 만들어서……	作る의 의미 복원
overlay-18.json	arm9-overlay:18@00003D58	いまのメカが運んできてくれた	방금 메카가 가져다줬어	방금 메카가 가져다준	다음 문장과 연결되는 관형형 복원
overlay-18.json	arm9-overlay:18@00003D78	みたいだね……自爆したけど。	그런가 봐……자폭했지만.	것 같네……자폭했지만.	앞 문장과의 문법적 연결 복원
overlay-18.json	arm9-overlay:18@00003F98	ゴハンがどうとか言ってたね。	먹을 걸 찾는다 했지.	밥이 어쩌고 했지.	원문에 없는 ‘찾다’ 제거
overlay-18.json	arm9-overlay:18@000040EC	しんじろー、びょーきか？	신지로, 아픈 거야?	신지로, 병 걸렸어?	病気의 직접적인 의미 복원
overlay-18.json	arm9-overlay:18@000041C8	神様、ホトケ様、リカ様！	신님, 부처님, 리카님!	하느님, 부처님, 리카님!	부자연스러운 호칭 수정
overlay-18.json	arm9-overlay:18@000041F4	しんじろーは、なにしてんだ？	신지로는 뭐 하러 왔어?	신지로는 뭐 하고 있어?	원문에 없는 이동 목적 제거
overlay-18.json	arm9-overlay:18@000043A8	実は、ワシは持病があってな。	실은 지병이 있어서 말이지.	실은 지병이 있어서 말이네.	노인의 말투 유지
overlay-18.json	arm9-overlay:18@000043C8	薬を飲まねばならんのじゃが、	약을 먹어야 하는데,	약을 먹어야 하는데 말이지,	노인의 말투 유지
overlay-18.json	arm9-overlay:18@00004424	ほとほと困っておったのじゃ。	정말 곤란하던 참이야.	정말 곤란하던 참이었다네.	노인의 말투 유지
overlay-18.json	arm9-overlay:18@000044C8	飲む薬が決まっておるのじゃ。	먹을 약이 정해져 있어.	먹을 약이 정해져 있다네.	노인의 말투 유지
overlay-18.json	arm9-overlay:18@000048E0	一応、研修医なので。	일단, 연수의라서요.	일단, 수련의라서요.	의학 용어 수정
overlay-18.json	arm9-overlay:18@000049F8	ほんに、ありがとうな！	정말 고맙구나!	참말로 고맙구먼!	노인의 말투 유지
overlay-18.json	arm9-overlay:18@00004A9C	おっしゃってくださいね。	꼭 말씀해주세요.	꼭 말씀해 주세요.	보조 용언 띄어쓰기 수정
overlay-18.json	arm9-overlay:18@00004DD0	これ、リカの掟!!	이게 리카의 규칙!!	이게 리카의 철칙!!	掟의 강한 어감 복원
